Feature,Importance
MonthlyIncome,0.07392960092714437
Age,0.05799439924409535
DailyRate,0.05260985241337667
TotalWorkingYears,0.05260280201360418
YearsAtCompany,0.04806206172734201
HourlyRate,0.04259713457346771
MonthlyRate,0.04199384799929847
DistanceFromHome,0.04164079178735694
YearsWithCurrManager,0.035911822414303206
NumCompaniesWorked,0.035329107406285566
OverTime_Yes,0.034230256261273184
PercentSalaryHike,0.03204580557790036
StockOptionLevel,0.02983355080664252
OverTime_No,0.02909843801520701
YearsInCurrentRole,0.026474572921768257
JobLevel,0.026387586126778297
EnvironmentSatisfaction,0.025501659339693835
JobSatisfaction,0.02330861592036832
YearsSinceLastPromotion,0.022605936484859698
RelationshipSatisfaction,0.02061902936717386
Education,0.020347665794838
TrainingTimesLastYear,0.01994568532874718
WorkLifeBalance,0.019209195645088856
JobInvolvement,0.019028679569737052
MaritalStatus_Single,0.015121878732347546
JobRole_Research Scientist,0.011023770066005318
BusinessTravel_Travel_Frequently,0.010731230571560042
JobRole_Sales Executive,0.010721684116991842
Department_Research & Development,0.010053979501656683
JobRole_Laboratory Technician,0.008686640687548484
EducationField_Medical,0.008124283657449534
MaritalStatus_Married,0.007943199217954843
Department_Sales,0.007674893303269716
Gender_Male,0.007665208246347412
Gender_Female,0.0073940260899069314
MaritalStatus_Divorced,0.006523346648514576
BusinessTravel_Non-Travel,0.006374769717466849
BusinessTravel_Travel_Rarely,0.006298762722846342
EducationField_Life Sciences,0.006257754732869498
EducationField_Marketing,0.005336952566281762
JobRole_Sales Representative,0.005119151870665152
JobRole_Healthcare Representative,0.004539390898359168
EducationField_Technical Degree,0.004226121427178167
JobRole_Manufacturing Director,0.003584590398451009
PerformanceRating,0.0035382723565600023
EducationField_Other,0.002947851160549019
JobRole_Manager,0.002880217064075257
JobRole_Research Director,0.0020025669533496214
Department_Human Resources,0.0016393778146932406
JobRole_Human Resources,0.0015241194698488087
EducationField_Human Resources,0.0007578623409024024
